step,station_id,station_name,url,filename
1,04de5c45-006d-4f25-9b1c-f4dcab214768,Humanities Tower,https://pieces-carlos-massive-filter.trycloudflare.com/?team=blue-1234&station=04de5c45-006d-4f25-9b1c-f4dcab214768&scan=1,01_Humanities_Tower_04de5c45.png
2,6e681c03-1914-4945-bc1d-f3f6de81387e,Cafeteria,https://pieces-carlos-massive-filter.trycloudflare.com/?team=blue-1234&station=6e681c03-1914-4945-bc1d-f3f6de81387e&scan=1,02_Cafeteria_6e681c03.png
3,a89824c8-5db5-4a82-b644-591aed7a9f4d,Celestial,https://pieces-carlos-massive-filter.trycloudflare.com/?team=blue-1234&station=a89824c8-5db5-4a82-b644-591aed7a9f4d&scan=1,03_Celestial_a89824c8.png
4,9fa91f85-8dae-4d27-977f-2bb77a6fc932,Nutwood Parking Structure,https://pieces-carlos-massive-filter.trycloudflare.com/?team=blue-1234&station=9fa91f85-8dae-4d27-977f-2bb77a6fc932&scan=1,04_Nutwood_Parking_Structure_9fa91f85.png
5,e96d2104-0c34-45b6-88fc-3f075d55f349,Library,https://pieces-carlos-massive-filter.trycloudflare.com/?team=blue-1234&station=e96d2104-0c34-45b6-88fc-3f075d55f349&scan=1,05_Library_e96d2104.png
6,5682e30b-49f7-435c-bd16-fde7ee8c66a5,CS Quad,https://pieces-carlos-massive-filter.trycloudflare.com/?team=blue-1234&station=5682e30b-49f7-435c-bd16-fde7ee8c66a5&scan=1,06_CS_Quad_5682e30b.png
7,46ba7881-0999-4736-ae10-bc20b35dbd1c,Student Rec Center,https://pieces-carlos-massive-filter.trycloudflare.com/?team=blue-1234&station=46ba7881-0999-4736-ae10-bc20b35dbd1c&scan=1,07_Student_Rec_Center_46ba7881.png
8,98aa15a6-0246-4980-8e3c-11b99a47d858,Statue of David,https://pieces-carlos-massive-filter.trycloudflare.com/?team=blue-1234&station=98aa15a6-0246-4980-8e3c-11b99a47d858&scan=1,08_Statue_of_David_98aa15a6.png
9,7d1ba2f1-9b6a-4690-a88d-ecd385e609c2,Health,https://pieces-carlos-massive-filter.trycloudflare.com/?team=blue-1234&station=7d1ba2f1-9b6a-4690-a88d-ecd385e609c2&scan=1,09_Health_7d1ba2f1.png
10,d228d7a8-1d4b-4194-a745-2996c88f3fbd,Fullerton Arboretum,https://pieces-carlos-massive-filter.trycloudflare.com/?team=blue-1234&station=d228d7a8-1d4b-4194-a745-2996c88f3fbd&scan=1,10_Fullerton_Arboretum_d228d7a8.png
